,index,Title,Movie Link,Year,Duration,MPA,Rating,Votes
133,467,468. Nitram,https://www.imdb.com/title/tt13694628/?ref_=sr_t_468,2021,1h 52m,,7.1,11K
134,153,154. Raging Fire,https://www.imdb.com/title/tt8165192/?ref_=sr_t_154,2021,2h 6m,Not Rated,6.5,6.3K
135,441,"442. Thank You, Dr. Fauci",https://www.imdb.com/title/tt34361382/?ref_=sr_t_442,2024,1h 31m,,6.8,356
136,575,576. Kimi,https://www.imdb.com/title/tt14128670/?ref_=sr_t_576,2022,1h 29m,R,6.3,40K
137,358,359. Last Moment of Clarity,https://www.imdb.com/title/tt1929297/?ref_=sr_t_359,2020,1h 30m,R,5.2,3.4K
138,5,6. Beetlejuice Beetlejuice,https://www.imdb.com/title/tt2049403/?ref_=sr_t_6,2024,1h 45m,PG-13,6.7,127K
139,165,166. The Dissident,https://www.imdb.com/title/tt11382384/?ref_=sr_t_166,2020,1h 59m,PG-13,7.8,31K
140,226,227. Kindred,https://www.imdb.com/title/tt9742392/?ref_=sr_t_227,2020,1h 41m,Not Rated,5.0,2.5K
141,483,484. Enola Holmes 2,https://www.imdb.com/title/tt14641788/?ref_=sr_t_484,2022,2h 9m,PG-13,6.8,107K
142,199,200. A Soldier's Story 2: Return from the Dead,https://www.imdb.com/title/tt7908426/?ref_=sr_t_200,2020,1h 45m,,4.9,60
143,69,70. Homestead,https://www.imdb.com/title/tt29137778/?ref_=sr_t_70,2024,1h 52m,PG-13,5.6,1.5K
144,579,580. Monsieur Aznavour,https://www.imdb.com/title/tt26743414/?ref_=sr_t_580,2024,2h 13m,,7.4,1.3K
145,321,322. All the Bright Places,https://www.imdb.com/title/tt3907584/?ref_=sr_t_322,2020,1h 47m,TV-MA,6.6,40K
146,192,193. A Writer's Odyssey,https://www.imdb.com/title/tt9685342/?ref_=sr_t_193,2021,2h 10m,,6.2,4.5K
147,488,489. The Quarry,https://www.imdb.com/title/tt10151054/?ref_=sr_t_489,2020,1h 38m,R,5.5,3.8K
148,16,17. Cruella,https://www.imdb.com/title/tt3228774/?ref_=sr_t_17,2021,2h 14m,PG-13,7.3,276K
149,377,378. Miller's Girl,https://www.imdb.com/title/tt8310486/?ref_=sr_t_378,2024,1h 33m,R,5.2,21K
150,375,376. Chemical Hearts,https://www.imdb.com/title/tt5843876/?ref_=sr_t_376,2020,1h 33m,R,6.3,17K
151,197,198. SAS: Rise of the Black Swan,https://www.imdb.com/title/tt4479380/?ref_=sr_t_198,2021,2h 4m,R,5.3,22K
152,400,401. What Doesn't Float,https://www.imdb.com/title/tt11438854/?ref_=sr_t_401,2023,1h 9m,,7.0,64
153,339,340. His House,https://www.imdb.com/title/tt8508734/?ref_=sr_t_340,2020,1h 33m,TV-14,6.4,51K
